hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,food and staff,rooftop close and less chicken variant for breakfast,food and staff rooftop close and less chicken variant for breakfast,5,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,Bed & Room So perfect & Excellent.,,Bed & Room So perfect & Excellent. ,3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,The room was clean and comfortable. Staff at the reception were responsive and helpful. We did not book breakfast but went to have breakfast at hotel when we wanted to. The spread and quality were reasonably good.,"The lift had very dim lighting.This really put us off. Especially in the night, it is far too dim. Gives an uncomfortable feeling. This definitely has to improve!The lighting in the passage way where our room was was slightly brighter than in the lift. But, it can still be somewhat brighter","The room was clean and comfortable. Staff at the reception were responsive and helpful. We did not book breakfast but went to have breakfast at hotel when we wanted to. The spread and quality were reasonably good. The lift had very dim lighting.This really put us off. Especially in the night, it is far too dim. Gives an uncomfortable feeling. This definitely has to improve!The lighting in the passage way where our room was was slightly brighter than in the lift. But, it can still be somewhat brighter",3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,"convenient location, comfortable bed","rooms small, bathroom really compact","convenient location, comfortable bed rooms small, bathroom really compact",3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,confront,the tv channel no have smart tv,confront the tv channel no have smart tv,3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,it was very clean and sparkly and the staff was super nice!,"i thought I was stuck in the elevator once because apparently I had to press the “open door” button on the elevator to open the door. that was strange because that only happened once, all the other times the door opened as soon as I got to my destination.","it was very clean and sparkly and the staff was super nice! i thought I was stuck in the elevator once because apparently I had to press the “open door” button on the elevator to open the door. that was strange because that only happened once, all the other times the door opened as soon as I got to my destination.",5,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,cleanliness,room size,cleanliness room size,4,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,"Room is clean, have Bancony, window","Very noise, you can hear any things from next room","Room is clean, have Bancony, window Very noise, you can hear any things from next room",3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,Room inside to dark to small,Room should not to dark going depression,Room inside to dark to small Room should not to dark going depression,3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
Aqueen Hotel Paya Lebar,409180,1.357107,103.8194992,"Location and convenience to the shopping mall, and the airport.",Very small room.,"Location and convenience to the shopping mall, and the airport. Very small room.",3,['7.9'],8.4,8.3,8.3,7.9,8.3,8.0,8.0
