hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,The location was excellent to explore Singa on foot and the hotel was very new. The pool and gym had superb views and the room had everything one needed including unlimited drinking water from a filtered tap.,"Room was on the small side but that is to be expected in Singapore, also quite pricey like everything in Singa.","The location was excellent to explore Singa on foot and the hotel was very new. The pool and gym had superb views and the room had everything one needed including unlimited drinking water from a filtered tap. Room was on the small side but that is to be expected in Singapore, also quite pricey like everything in Singa.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,very impressive attention to detail,as with all Singapore accommodation- expensive,very impressive attention to detail as with all Singapore accommodation- expensive,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,I like the hotel location and of course the room itself.It quite small compared to the price but hey its Singapore hence the room not as wide as the price  is!The room is super clean and new! It have everything even a microwave! Love the water filter there is no need to use water bottle. the bed is so comfy.,I don't like the breakfast at all! With the price that we paid i think we are deserved to have a breakfast like a champion! The food is so basic and not so much on the varieties. The food is tasteless. Should have more type of food and can be cook better.,I like the hotel location and of course the room itself.It quite small compared to the price but hey its Singapore hence the room not as wide as the price  is!The room is super clean and new! It have everything even a microwave! Love the water filter there is no need to use water bottle. the bed is so comfy. I don't like the breakfast at all! With the price that we paid i think we are deserved to have a breakfast like a champion! The food is so basic and not so much on the varieties. The food is tasteless. Should have more type of food and can be cook better.,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Perfect location, great concierge and clean room with all you need! Pool, gym, and great amount of restaurants around . Extremely quiet room!","Actually the breakfast was totally average - only server until 9:30 a.m., being there at 9, there were only some leftovers. However, there was a poster, that was informing about renovation of the restaurant.","Perfect location, great concierge and clean room with all you need! Pool, gym, and great amount of restaurants around . Extremely quiet room! Actually the breakfast was totally average - only server until 9:30 a.m., being there at 9, there were only some leftovers. However, there was a poster, that was informing about renovation of the restaurant.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Everything,nothing,Everything nothing,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,it was ok,all went ok,it was ok all went ok,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Overall is good,A little bit far from the train station,Overall is good A little bit far from the train station,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Room included kitchenette with utensils, very helpful with having takeout meals in the room",,"Room included kitchenette with utensils, very helpful with having takeout meals in the room ",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Very comfortable,,Very comfortable ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"amazing location, great facilities and spacious room",slight (new furniture) smell at entrance of room.,"amazing location, great facilities and spacious room slight (new furniture) smell at entrance of room.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
