hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score
Dream Lodge,207574,1.2899175,103.8519072,clean and very organized,nothing.👍,clean and very organized nothing.👍,5
Dream Lodge,207574,1.2899175,103.8519072,"It has to be one of the best , if not the best hostel that I have come across in Singapore !",,"It has to be one of the best , if not the best hostel that I have come across in Singapore ! ",5
Dream Lodge,207574,1.2899175,103.8519072,just feel like home,,just feel like home ,5
Dream Lodge,207574,1.2899175,103.8519072,the beds where good,bathroom floor was a bit wet after showering,the beds where good bathroom floor was a bit wet after showering,4
Dream Lodge,207574,1.2899175,103.8519072,"i like the bed very much, quiet room, and very spacious bed space .",,"i like the bed very much, quiet room, and very spacious bed space . ",4
Dream Lodge,207574,1.2899175,103.8519072,"Lovely hostel in a great location. Little Italy, a vegan restaurant and other restaurants and cafes, the MRT and bus stations are very close.The bed was comfy and there was some privacy because of the curtain. I loved that it felt a bit like a cave. There was power, light and some space to put stuff right next to the mattress. There were lockers to put a whole backpack in and everything was very clean. The kitchen / common area was lovely because of many plants and enough space to hang up with the roommates. I really liked the hostel and would book it again!",,"Lovely hostel in a great location. Little Italy, a vegan restaurant and other restaurants and cafes, the MRT and bus stations are very close.The bed was comfy and there was some privacy because of the curtain. I loved that it felt a bit like a cave. There was power, light and some space to put stuff right next to the mattress. There were lockers to put a whole backpack in and everything was very clean. The kitchen / common area was lovely because of many plants and enough space to hang up with the roommates. I really liked the hostel and would book it again! ",5
Dream Lodge,207574,1.2899175,103.8519072,The bed was comfortable and spacious for one person. The lockers are spacious enough to fit a big luggage. The place also provides recommendations on restaurants and activities to do. The location is convenient and within walking distance from buses and subway stations. There are also restaurants nearby and a 24 hours convenience store within walking distance as well.,,The bed was comfortable and spacious for one person. The lockers are spacious enough to fit a big luggage. The place also provides recommendations on restaurants and activities to do. The location is convenient and within walking distance from buses and subway stations. There are also restaurants nearby and a 24 hours convenience store within walking distance as well. ,4
Dream Lodge,207574,1.2899175,103.8519072,"Great location, comfortable bed and very clean toilet bathroom.",No lift :),"Great location, comfortable bed and very clean toilet bathroom. No lift :)",5
Dream Lodge,207574,1.2899175,103.8519072,"Friendly staff. Convenient location many eateries surrounding. The toilet is super clean, bed is comfortable.",Wish that I could have a folding table inside each pod.,"Friendly staff. Convenient location many eateries surrounding. The toilet is super clean, bed is comfortable. Wish that I could have a folding table inside each pod.",5
Dream Lodge,207574,1.2899175,103.8519072,Everything is good. Staff is very friendly,Nope all is good,Everything is good. Staff is very friendly Nope all is good,5
Dream Lodge,207574,1.2899175,103.8519072,"new, clean hostel, very much liking the entourage, lots of privacy with the curtains. we could leave our bags in the kitchen after check out which was great to explore the city before leaving Singapore.",,"new, clean hostel, very much liking the entourage, lots of privacy with the curtains. we could leave our bags in the kitchen after check out which was great to explore the city before leaving Singapore. ",4
Dream Lodge,207574,1.2899175,103.8519072,"Late check in was so organised. Bed was great, quiet room and clean.",no USB port for charging by bed,"Late check in was so organised. Bed was great, quiet room and clean. no USB port for charging by bed",5
Dream Lodge,207574,1.2899175,103.8519072,"Great location, very friendly and helpful staff.",The bathrooms weren’t always very clean,"Great location, very friendly and helpful staff. The bathrooms weren’t always very clean",5
