hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,,"One, staff and front desk manager were not as friendly as they should be when I inquired about why my Marriott Envoy membership program didn't record my trips at this location.  They simply told me that I didn't book with them directly so they can't help much. Two, nobody told me that because of F1,  they would increase my room rate for the last night (almost double). I don't mind paying the market rate, but I do mind that I wasn't informed before.  That was a big surprise to me but to them it's like ""Oh, yeah, we had to""."," One, staff and front desk manager were not as friendly as they should be when I inquired about why my Marriott Envoy membership program didn't record my trips at this location.  They simply told me that I didn't book with them directly so they can't help much. Two, nobody told me that because of F1,  they would increase my room rate for the last night (almost double). I don't mind paying the market rate, but I do mind that I wasn't informed before.  That was a big surprise to me but to them it's like ""Oh, yeah, we had to"".",3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,great Location,,great Location ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Pool was nice rooms were spacious and clean. No breakfast provided in room rate considering it was almost $1000 this seemed somewhat outrageous,Hotel location quite far from mrt station slightly dated but overall excellent,Pool was nice rooms were spacious and clean. No breakfast provided in room rate considering it was almost $1000 this seemed somewhat outrageous Hotel location quite far from mrt station slightly dated but overall excellent,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"as usual the location was great, the hotel spotless and the staff wonderful. bonus of river otters frolicking near the bar several times a day",I thought that we may have had a bigger room given we stayed for 7 nights and we had been frequent clients prior to Covid,"as usual the location was great, the hotel spotless and the staff wonderful. bonus of river otters frolicking near the bar several times a day I thought that we may have had a bigger room given we stayed for 7 nights and we had been frequent clients prior to Covid",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"location, room and coffee shop",very limited veg food and extremely limited Indian menu. Swimming pool and gym are very small,"location, room and coffee shop very limited veg food and extremely limited Indian menu. Swimming pool and gym are very small",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Location was good away from the main tourist location of Orchard Road. Plenty of bars and restaurants within a short walk across the river at the back of the hotel.,Bar prices expensive and food options limited.,Location was good away from the main tourist location of Orchard Road. Plenty of bars and restaurants within a short walk across the river at the back of the hotel. Bar prices expensive and food options limited.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,location,expensive for a tiny room with no breakfast.,location expensive for a tiny room with no breakfast.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"clean rooms, good location by the river. affordable. gym is excellent",,"clean rooms, good location by the river. affordable. gym is excellent ",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,friendly staff good environment for evening walk along the river,,friendly staff good environment for evening walk along the river ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Great location and very helpful staff. we arrived after a long flight many hours before the official check in time, however the receptionist managed to find rooms for all of our party to check in to early so we could freshen up and enjoy the day.",,"Great location and very helpful staff. we arrived after a long flight many hours before the official check in time, however the receptionist managed to find rooms for all of our party to check in to early so we could freshen up and enjoy the day. ",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,The location is a bit far from the Metro station but is quite central and located at Robertson Key. Hotel facilities are well managed and in impeccable order.,"Breakfast not included in many of the room options Value for money is fine, but not excellent","The location is a bit far from the Metro station but is quite central and located at Robertson Key. Hotel facilities are well managed and in impeccable order. Breakfast not included in many of the room options Value for money is fine, but not excellent",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,All services as expected Food RoomFacilities Location,Checking in there was only 2 people and there was a lot of people waiting whilst the 2 staff were polite to every customer it took far too long to check in,All services as expected Food RoomFacilities Location Checking in there was only 2 people and there was a lot of people waiting whilst the 2 staff were polite to every customer it took far too long to check in,3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Staff are friendly and helpful.,Smell in the washroom.,Staff are friendly and helpful. Smell in the washroom.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,gym and location,no sitting area at lobby,gym and location no sitting area at lobby,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,services as expected of 4 Points!  keep up the good work,NA,services as expected of 4 Points!  keep up the good work NA,3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Nice quiet environment,NA,Nice quiet environment NA,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,lots restaurants in area,staff at front desk were great and helpful the rest of staff in restaurants had no interest and had to go to bar myself and order as the waitress spent 30 minutes talking with friends.,lots restaurants in area staff at front desk were great and helpful the rest of staff in restaurants had no interest and had to go to bar myself and order as the waitress spent 30 minutes talking with friends.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"clean, 24 hour check in service",,"clean, 24 hour check in service ",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,good location on the river.,food service staff very slow and inattentive as waitress spent 30 minutes talking to friends and not helping anyone else.,good location on the river. food service staff very slow and inattentive as waitress spent 30 minutes talking to friends and not helping anyone else.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Good gym and friendly staff,,Good gym and friendly staff ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Excellent Location,Breakfast could be improved,Excellent Location Breakfast could be improved,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"spacious, staffs are helpful",there is bad smell from bathroom,"spacious, staffs are helpful there is bad smell from bathroom",3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,spacious and comfortable,Have to pay $10/- per day for parking. Should be complementary.,spacious and comfortable Have to pay $10/- per day for parking. Should be complementary.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,,Breakfast buffet was not available, Breakfast buffet was not available,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,The location. just beside the Singapore 🇸🇬 River mind-blowing .,Very nice location. Good stuff.good food.n very clean.,The location. just beside the Singapore 🇸🇬 River mind-blowing . Very nice location. Good stuff.good food.n very clean.,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,I liked the location as it is near to almost everywhere and the view is nice. great surrounding ambience.,could have provided at least bottled water inside rooms which is of pretty standard thing.,I liked the location as it is near to almost everywhere and the view is nice. great surrounding ambience. could have provided at least bottled water inside rooms which is of pretty standard thing.,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"The coffee machine and its pods, nice experience and flavours.",The fridge wasnt cold so our drinks didnt chill as much as we would like it to be.,"The coffee machine and its pods, nice experience and flavours. The fridge wasnt cold so our drinks didnt chill as much as we would like it to be.",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Checking in and out was a breeze. Room was clean.We called a couple of times for towels and utensils, they delivered it very quickly to our room.Thank you",,"Checking in and out was a breeze. Room was clean.We called a couple of times for towels and utensils, they delivered it very quickly to our room.Thank you ",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Extra checkout time,,Extra checkout time ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Cleanliness, friendliness of staff, nice breakfast",It was a bit far away from the stations but nice river along the back of hotel,"Cleanliness, friendliness of staff, nice breakfast It was a bit far away from the stations but nice river along the back of hotel",3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Good location to access the river and walk to access the rest of the city.,,Good location to access the river and walk to access the rest of the city. ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Very limited choice in breakfast. Needs to suit the taste for global travelers.,,Very limited choice in breakfast. Needs to suit the taste for global travelers. ,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Modern shower room with strong water flow and comfortable indoor facilities under good air condition!,,Modern shower room with strong water flow and comfortable indoor facilities under good air condition! ,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Room was fantastic, clean, bright with city views and the most comfortable bed! Located close to river walk and Clarke Quay a great place to walk around in the evening to enjoy some fresh breeze and dine at one of the bustling eateries.","would have been good to get a complimentary late check-out, instead of 12pm would have preferred 2pm.","Room was fantastic, clean, bright with city views and the most comfortable bed! Located close to river walk and Clarke Quay a great place to walk around in the evening to enjoy some fresh breeze and dine at one of the bustling eateries. would have been good to get a complimentary late check-out, instead of 12pm would have preferred 2pm.",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Nice view!,,Nice view! ,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Friendly service, clean, comfortable rooms, nice pool area and good WiFi","The floors smelt like they were mopped with dirty water. We complained and they moved us to a room with the same problem, but they then cleaned and deodorised it’s.Food is pricey.","Friendly service, clean, comfortable rooms, nice pool area and good WiFi The floors smelt like they were mopped with dirty water. We complained and they moved us to a room with the same problem, but they then cleaned and deodorised it’s.Food is pricey.",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Location is perfect and scenary was beautiful. Right in the middle of down town. Easy to navigate to different tourist attractions by public bus and subways... city is so clean and safe!,"The rooms must have thin walls because we were able to hear the people next door. I also dislike the rooms that are connecting rooms. I feel more safe if its just a normal single room, especially if you dont know the people staying in the connecting room.","Location is perfect and scenary was beautiful. Right in the middle of down town. Easy to navigate to different tourist attractions by public bus and subways... city is so clean and safe! The rooms must have thin walls because we were able to hear the people next door. I also dislike the rooms that are connecting rooms. I feel more safe if its just a normal single room, especially if you dont know the people staying in the connecting room.",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Superb Location which is by the river with lots of cafes and restaurants! Very clean room and I am super impressed with the shower head that comes with a filter,,Superb Location which is by the river with lots of cafes and restaurants! Very clean room and I am super impressed with the shower head that comes with a filter ,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,I've stayed in many Sheraton so this one basically met my expectations. Location is not prime but overall OK. Helpful staff.,"I am a Marriot bonvoy member and this is the first time I was told I could not get any points for my stay because the booking was made through booking.com. I have booked other Marriot hotels through third party agencies - I always get some points, even if it is discounted. This time I did not get any, which is weird.The room is small compared to other similar hotels I stayed in Singapore and location not as convenient.","I've stayed in many Sheraton so this one basically met my expectations. Location is not prime but overall OK. Helpful staff. I am a Marriot bonvoy member and this is the first time I was told I could not get any points for my stay because the booking was made through booking.com. I have booked other Marriot hotels through third party agencies - I always get some points, even if it is discounted. This time I did not get any, which is weird.The room is small compared to other similar hotels I stayed in Singapore and location not as convenient.",3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"I like the service, their hospitality, comfort, and location.",None.,"I like the service, their hospitality, comfort, and location. None.",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Room was spacious and very clean.  Bar was reasonable and the food good. Location was great.,Nothing,Room was spacious and very clean.  Bar was reasonable and the food good. Location was great. Nothing,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Location excellent. Lovely walk along the river to get into the centre.,Later check out. Later breakfast times.,Location excellent. Lovely walk along the river to get into the centre. Later check out. Later breakfast times.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Location, cleanliness, staff, food and drink.",Breakfast buffet having chicken sausage everyday please!,"Location, cleanliness, staff, food and drink. Breakfast buffet having chicken sausage everyday please!",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"This was exactly what I was looking for, great location, comfortable bed great shower and very friendly and helpful staff.",The staff were a little bit lost but they were very friendly,"This was exactly what I was looking for, great location, comfortable bed great shower and very friendly and helpful staff. The staff were a little bit lost but they were very friendly",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Excellent river front locationClean, modern rooms with comfortable bedsExcellent reception and concierge serviceGood value for moneyGood gym and pool areaFree checkout extension until 4pm provided on requestFree bottled water replenished daily",Bar prices and lack of happy hour (unlike others in area)Cleaning would benefit from a little more attention to detailsEnglish language tv channel selection very poorOnly two tea bags provided each day and only a non dairy creamer,"Excellent river front locationClean, modern rooms with comfortable bedsExcellent reception and concierge serviceGood value for moneyGood gym and pool areaFree checkout extension until 4pm provided on requestFree bottled water replenished daily Bar prices and lack of happy hour (unlike others in area)Cleaning would benefit from a little more attention to detailsEnglish language tv channel selection very poorOnly two tea bags provided each day and only a non dairy creamer",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,15 minute walk to Clarke quay along the river. Great location for all main attractions. Good choice for breakfast.,N/A,15 minute walk to Clarke quay along the river. Great location for all main attractions. Good choice for breakfast. N/A,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Rooms are nice.  Staff very friendly and helpful.  Good big breakfast buffet.,Breakfast was expensive.  Gym areas and pool area a bit tired.  Gym areas small.,Rooms are nice.  Staff very friendly and helpful.  Good big breakfast buffet. Breakfast was expensive.  Gym areas and pool area a bit tired.  Gym areas small.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"The check-in was very smooth, the room spacious and very clean. Very friendly staff",Everything is excellent. The pool maybe a little bit small but big enough to play.,"The check-in was very smooth, the room spacious and very clean. Very friendly staff Everything is excellent. The pool maybe a little bit small but big enough to play.",4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,breakfast had a good selection and although the hotel was quite full the F&B staff managed the restaurant wellLocation is a little to far away from any attraction but the new MRT station will solve thisroom was a decent size,housekeeping took a message and never responded. We had to accost the cleaner the next morning ourselves to solve the issue.,breakfast had a good selection and although the hotel was quite full the F&B staff managed the restaurant wellLocation is a little to far away from any attraction but the new MRT station will solve thisroom was a decent size housekeeping took a message and never responded. We had to accost the cleaner the next morning ourselves to solve the issue.,4,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,good,nop,good nop,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Location,Despite my request not received a single cot and we need to share 2 single bedsThere was no shaving mirror in the roomYou have not shared bathrobe and we need to ask for itThe sliding door of the luggage area was not working properlyThe steam room was not having any instructor n need to wait for heating up for long.Absolutely not value for money spend.,Location Despite my request not received a single cot and we need to share 2 single bedsThere was no shaving mirror in the roomYou have not shared bathrobe and we need to ask for itThe sliding door of the luggage area was not working properlyThe steam room was not having any instructor n need to wait for heating up for long.Absolutely not value for money spend.,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,,"Housekeeping service is poor. Even bathrobe and laundry bag need to be asked. Even those was asked , they still did not place them in the room later days. Room after cleaning was still dirty.Breakfast is the same every day."," Housekeeping service is poor. Even bathrobe and laundry bag need to be asked. Even those was asked , they still did not place them in the room later days. Room after cleaning was still dirty.Breakfast is the same every day.",1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,location is the best.,rooms were stinking badly. complained them thrice. no solution was given.,location is the best. rooms were stinking badly. complained them thrice. no solution was given.,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
