hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"the rooms are large for Singapore, good lobby, restaurant & outdoor areas. High standard housekeeping.",,"the rooms are large for Singapore, good lobby, restaurant & outdoor areas. High standard housekeeping. ",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Swimming Pool and Club Lounge,wardrobe and bathroom need upgrading,Swimming Pool and Club Lounge wardrobe and bathroom need upgrading,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,location is good,furniture is a bit old,location is good furniture is a bit old,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Good location and nice river view. The swimming pool was clean and good size. The express check out was great,Check in took so long. We checked in at 3am next day and expected already the room was set but the extra bed request was not ready. The breakfast was okay and we had to wait for omelette so long. There was a broken soup spoon that I told the staff to clean up but it wasn't done until we finished breakfast. Tea was already premade and bad.,Good location and nice river view. The swimming pool was clean and good size. The express check out was great Check in took so long. We checked in at 3am next day and expected already the room was set but the extra bed request was not ready. The breakfast was okay and we had to wait for omelette so long. There was a broken soup spoon that I told the staff to clean up but it wasn't done until we finished breakfast. Tea was already premade and bad.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,,pillow and mattress are too soft., pillow and mattress are too soft.,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Location is excellent.,Facilities is a little bit dated.,Location is excellent. Facilities is a little bit dated.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"The efficient checkin, concierge and the location is fabulous!  Size of the room was very comfortable. We had a river view room and that had the best view",Aged rooms...need upgrade. .,"The efficient checkin, concierge and the location is fabulous!  Size of the room was very comfortable. We had a river view room and that had the best view Aged rooms...need upgrade. .",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,location was good,staff was not friendly and supportive,location was good staff was not friendly and supportive,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Great location, close to downtown! Staff and service is excellent.","The hotel rooms are not modern and seem to not have been updated for a few years. In addition, there was quite a bit of dust behind the bed.","Great location, close to downtown! Staff and service is excellent. The hotel rooms are not modern and seem to not have been updated for a few years. In addition, there was quite a bit of dust behind the bed.",3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,it was clean and upmarket but very expensive,the price,it was clean and upmarket but very expensive the price,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,locationhouse keeping good concierge helpful,the carpet on the corridor  and room smells bad hot water not all the timeaircon didn’t work properly always at 18 degrees..which I get sick after the second night,locationhouse keeping good concierge helpful the carpet on the corridor  and room smells bad hot water not all the timeaircon didn’t work properly always at 18 degrees..which I get sick after the second night,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Large room area as compared to Singapore standards. Good Location. Will be even better when Havelock Road Metro Starts which is literally 10-20 steps away from the hotel,Early check in / small waiting area. Had booked 2 rooms and travelled for almost 24 hours and needed to crash in at least one of them approx 11-11.30 am. Would have been ok with even one of the 2. offered to pay extra.They did point us to the waiting area but that had only 4-5 chairs. May have been ok if there were more chairs in waiting are since its vastly empty,Large room area as compared to Singapore standards. Good Location. Will be even better when Havelock Road Metro Starts which is literally 10-20 steps away from the hotel Early check in / small waiting area. Had booked 2 rooms and travelled for almost 24 hours and needed to crash in at least one of them approx 11-11.30 am. Would have been ok with even one of the 2. offered to pay extra.They did point us to the waiting area but that had only 4-5 chairs. May have been ok if there were more chairs in waiting are since its vastly empty,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
