hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Hotel 81 Geylang,398863,1.2899175,103.8519072,,"When we reached the room, it wasn't cleaned. Trash from previous booking still there cigarette butts on the toilet."," When we reached the room, it wasn't cleaned. Trash from previous booking still there cigarette butts on the toilet.",2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Hotel situated in great location. Within walking distance of 2 MRT stations on EW & Circle Line (Aljunied & Mountbatten) Many eateries nearby. Oldy traditional feel to the area.,The seedy bars/ lounges and ladies of night along the street. The extortionate cost of a very very basic room because F1 weekend.,Hotel situated in great location. Within walking distance of 2 MRT stations on EW & Circle Line (Aljunied & Mountbatten) Many eateries nearby. Oldy traditional feel to the area. The seedy bars/ lounges and ladies of night along the street. The extortionate cost of a very very basic room because F1 weekend.,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"Price is cheaper than most hotels, Room is Clean",Location,"Price is cheaper than most hotels, Room is Clean Location",3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,at least it has own toilet and small fridge,quite hot due to aircon is not working properly,at least it has own toilet and small fridge quite hot due to aircon is not working properly,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"Value for money and location is good, close-ish to the station and a lot of nice food around",A bit bare bones in terms of facilities but u get what u pay for,"Value for money and location is good, close-ish to the station and a lot of nice food around A bit bare bones in terms of facilities but u get what u pay for",3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,It is surrounded by a lot of absolutely fantastic restaurants!,"The AC in the room is too dry, and there's no window in the room or in the corridor.","It is surrounded by a lot of absolutely fantastic restaurants! The AC in the room is too dry, and there's no window in the room or in the corridor.",2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Lot of small cockroaches in the room, Lot of small cockroaches in the room,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,"The rate goes up from Fri to Sun by $20 a night, I don't think the booking states this.Bathroom floor not at all clean."," The rate goes up from Fri to Sun by $20 a night, I don't think the booking states this.Bathroom floor not at all clean.",2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,I don't  like that when you go out of the elevator  you will see the dirty linens along the hallway., I don't  like that when you go out of the elevator  you will see the dirty linens along the hallway.,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The proximity of town and MRT,A bit noisy,The proximity of town and MRT A bit noisy,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,It was relatively cheap,"The room was very small, and the location is in an area where a lot of adult “entertainment” is.","It was relatively cheap The room was very small, and the location is in an area where a lot of adult “entertainment” is.",3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"It had what you need for a single night stay, It's $85 a night compared to 400, so you get what you pay for. This was worth it proportionally.",Bed was rock hard. Room smelt like someone had been smoking in it.,"It had what you need for a single night stay, It's $85 a night compared to 400, so you get what you pay for. This was worth it proportionally. Bed was rock hard. Room smelt like someone had been smoking in it.",3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Good location,Water kettle does not wirk,Good location Water kettle does not wirk,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The location. Near bus stops and restaurants.,The lobby and room smells like cigarettes.,The location. Near bus stops and restaurants. The lobby and room smells like cigarettes.,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Not so clean, Not so clean,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"The price,its budget friendly.",There's no bidet at the toilet,"The price,its budget friendly. There's no bidet at the toilet",2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Location,Area,Location Area,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,It was clean and had its own shower,A bit of a mouldy smell,It was clean and had its own shower A bit of a mouldy smell,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,😁👍,,😁👍 ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Dusty, Dusty,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The staff,Everything,The staff Everything,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Service not so good especially bed and comforter,Bed prepared,Service not so good especially bed and comforter Bed prepared,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,The air-conditioning  is too cold and it cannot be adjusted. I suspect that the thermostat is not working, The air-conditioning  is too cold and it cannot be adjusted. I suspect that the thermostat is not working,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
