hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
L Hotel at Broadway,218067,1.3091791,103.8532245,I liked the location and the staffs in reception.,They need to upgrade their WiFi facility. It's below standard in terms of speed and privacy. Such is not expected in a hotel in Singapore. They lack number of staffs and house keeping gives poor response.,I liked the location and the staffs in reception. They need to upgrade their WiFi facility. It's below standard in terms of speed and privacy. Such is not expected in a hotel in Singapore. They lack number of staffs and house keeping gives poor response.,2,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Good,,Good ,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Location is very good,Should Improve room service,Location is very good Should Improve room service,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Near bus stop and metro station.,The room was noisy with a bad smell and in bad shape.,Near bus stop and metro station. The room was noisy with a bad smell and in bad shape.,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Wifi support is very bad,wifi is very bad in room,Wifi support is very bad wifi is very bad in room,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Location was good and staff were friendly and room was pretty tidy ad clean.,When it was checkin can be very crowded and busy and access to lift area can be restricted with people and baggage.,Location was good and staff were friendly and room was pretty tidy ad clean. When it was checkin can be very crowded and busy and access to lift area can be restricted with people and baggage.,2,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Day and evening staff was very helpful,Location,Day and evening staff was very helpful Location,2,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,"very friendly and available staff , quick elevator, clean rooms , located in the heart of little India","very small bed suited just for little peopleSalamander in my roomvery old fashioned room old windows, hard to pull and open","very friendly and available staff , quick elevator, clean rooms , located in the heart of little India very small bed suited just for little peopleSalamander in my roomvery old fashioned room old windows, hard to pull and open",3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,"The staffs are friendly and helpful, no breakfast available and the location is just right at Little India.","Cleanliness, the car park is dark and tight.","The staffs are friendly and helpful, no breakfast available and the location is just right at Little India. Cleanliness, the car park is dark and tight.",3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Location was good and near by major palaces,View was okay. No medical kit was available. Room was small and okay.,Location was good and near by major palaces View was okay. No medical kit was available. Room was small and okay.,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
