hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,Excellent location. Infinity pool the best!,,Excellent location. Infinity pool the best! ,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,Absolutely gorgeous hotel and helpful  staff. Perfect location.,,Absolutely gorgeous hotel and helpful  staff. Perfect location. ,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"It was a great experience for one night. I don’t know if I would stay longer. The infinity pool is amazing, the staff is friendly, the room was large and clean. It is right next to gardens by the bay and a large shopping center with an amazing food court. I would highly recommend staying at least one night there.I just wish I had booked a massage in advance. It the only thing we didn’t do but wish we had during the stay.",Check in was a little slow and some stains on the sofa.,"It was a great experience for one night. I don’t know if I would stay longer. The infinity pool is amazing, the staff is friendly, the room was large and clean. It is right next to gardens by the bay and a large shopping center with an amazing food court. I would highly recommend staying at least one night there.I just wish I had booked a massage in advance. It the only thing we didn’t do but wish we had during the stay. Check in was a little slow and some stains on the sofa.",4
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,Everything! the nicest hotel I have ever stayed in and I have stayed in many 5 star hotels! None come close to this!!,Nothing!,Everything! the nicest hotel I have ever stayed in and I have stayed in many 5 star hotels! None come close to this!! Nothing!,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"pool, gym, location",$$$,"pool, gym, location $$$",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,absolutely EVERYTHING!,nothing,absolutely EVERYTHING! nothing,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,Bayan Tree Spa,,Bayan Tree Spa ,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,excellent pool and location,breakfast for sgd 59,excellent pool and location breakfast for sgd 59,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,we got our room upgraded to a suite and it was the most amazing experience! many thanks,,we got our room upgraded to a suite and it was the most amazing experience! many thanks ,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"Incredible facilities, dining, shopping, rooms, pool and views.",Out of our control but restaurant availability was the only challenge - booking early is best!,"Incredible facilities, dining, shopping, rooms, pool and views. Out of our control but restaurant availability was the only challenge - booking early is best!",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"It's hard to say shortly how fantastic our stay was. Starting with a beautiful, spacious and clean room, going towards to a delicious breakfast, great pool, room furnishings, and ending with very helpful staff who had eyes around their heads and made sure that the stay was perfect. We will definitely come back - for longer!",Everything was absolutely perfect!,"It's hard to say shortly how fantastic our stay was. Starting with a beautiful, spacious and clean room, going towards to a delicious breakfast, great pool, room furnishings, and ending with very helpful staff who had eyes around their heads and made sure that the stay was perfect. We will definitely come back - for longer! Everything was absolutely perfect!",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"The pool is beautiful.  The staff were friendly and attentive and the complimentary ice creams were much appreciated.  The proximity to the gardens and mall / casino is good, but a bit of a walk to downtown, Chinatown and other sights.  Free pop and juice and water in minibar was nice.","The beds were quite hard for our liking.  Despite triple checking on the bed for our son prior to arrival, it was not in the room when we arrived, exhausted and ready for bed at 1am.  The pool area has basically zero shade... Umbrellas would have been a nice addition to a pool of this calibre.","The pool is beautiful.  The staff were friendly and attentive and the complimentary ice creams were much appreciated.  The proximity to the gardens and mall / casino is good, but a bit of a walk to downtown, Chinatown and other sights.  Free pop and juice and water in minibar was nice. The beds were quite hard for our liking.  Despite triple checking on the bed for our son prior to arrival, it was not in the room when we arrived, exhausted and ready for bed at 1am.  The pool area has basically zero shade... Umbrellas would have been a nice addition to a pool of this calibre.",4
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"location, cleanliness and facilities",limited restaurant and facilities to cater international travellers with Halal food choice,"location, cleanliness and facilities limited restaurant and facilities to cater international travellers with Halal food choice",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,I like the exfinity pool,sometimes too crowded in the lobby area,I like the exfinity pool sometimes too crowded in the lobby area,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"Despite all the known facts about the amazing Infinity Pool etc., I want to highlight the super friendly staff and that you get small offerings for free (ice cream, juice) at the pool side, prices for food and drinks are quite okay especially in comparison to other places and Singapore prices in general",-,"Despite all the known facts about the amazing Infinity Pool etc., I want to highlight the super friendly staff and that you get small offerings for free (ice cream, juice) at the pool side, prices for food and drinks are quite okay especially in comparison to other places and Singapore prices in general -",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,"The pool, the bar, the staff, the room, the shopping, the restaurants, I was just in awe every min I stayed at the Marina Bay Sands!",,"The pool, the bar, the staff, the room, the shopping, the restaurants, I was just in awe every min I stayed at the Marina Bay Sands! ",5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,The staffs were very welcoming and hardworking. Location was excellent and facilities were great.,They must have complementary breakfast.,The staffs were very welcoming and hardworking. Location was excellent and facilities were great. They must have complementary breakfast.,5
Marina Bay Sands,018956,1.2837337833333333,103.85955816666666,Upgraded us to a suite,There is nothing to not like about this accomodation,Upgraded us to a suite There is nothing to not like about this accomodation,5
