hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Park Regis Singapore,058268,1.2880531,103.8445808,"Great location near Clark Quay metro station, Riverside and Chinatown.  Quiet.  Comfortable, well-designed rooms.  Nice  outlook from most rooms over the pool area.  Nice pool area.","Unfortunately we didn’t get one of the rooms with a pool view this time, but someone has to have the few that don’t!","Great location near Clark Quay metro station, Riverside and Chinatown.  Quiet.  Comfortable, well-designed rooms.  Nice  outlook from most rooms over the pool area.  Nice pool area. Unfortunately we didn’t get one of the rooms with a pool view this time, but someone has to have the few that don’t!",5,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,"At reception Angel was fantastic, a helpful lovely staff member, our room cleaner was helpful happy and lovely","One consierge was a little grumpy as was the reception guy at 6.30am Tuesday 11th, not very helpful, the difference between him the reception guy (grumpy, not helpful) and later Angel (very nice, happy and helpful) was very obvious.","At reception Angel was fantastic, a helpful lovely staff member, our room cleaner was helpful happy and lovely One consierge was a little grumpy as was the reception guy at 6.30am Tuesday 11th, not very helpful, the difference between him the reception guy (grumpy, not helpful) and later Angel (very nice, happy and helpful) was very obvious.",5,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,"Great rain shower. Very comfortable queen bedCity view was scenic, worth extra costEnjoyed alternating breakfast optionsConveniently located central Singapore","Small room, little space for all our luggage, and no dresser.Awkward bathroom arrangement for size of roomWish breakfast fruits had more varietyConcierge desk near front door was mostly unhelpful and unfriendly. More of an information desk.","Great rain shower. Very comfortable queen bedCity view was scenic, worth extra costEnjoyed alternating breakfast optionsConveniently located central Singapore Small room, little space for all our luggage, and no dresser.Awkward bathroom arrangement for size of roomWish breakfast fruits had more varietyConcierge desk near front door was mostly unhelpful and unfriendly. More of an information desk.",4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,"The location  was excellent! Singapore is hard to get a taxi, unless you download an app and have WiFi all the time, so this location you can walk to the Marina Bay Front & MRT & Clark Quay- this made it a great fit for us! it was clean, beds were very comfortable. the bellman went way out of his way to help us when our taxi don’t arrive early morning. The cleaning staff was very friendly.","The reception is on the 3rd floor, they were not all that friendly but very business like, we had to ask about the pool & restaurant, and take the luggage to the room, so if you are expecting a warm welcome you may not get it. The restaurant is run by a separate company, even if you prepaid for breakfast you will not be allowed to grab a coffee until the official open time even if they are there & you have an early flight.","The location  was excellent! Singapore is hard to get a taxi, unless you download an app and have WiFi all the time, so this location you can walk to the Marina Bay Front & MRT & Clark Quay- this made it a great fit for us! it was clean, beds were very comfortable. the bellman went way out of his way to help us when our taxi don’t arrive early morning. The cleaning staff was very friendly. The reception is on the 3rd floor, they were not all that friendly but very business like, we had to ask about the pool & restaurant, and take the luggage to the room, so if you are expecting a warm welcome you may not get it. The restaurant is run by a separate company, even if you prepaid for breakfast you will not be allowed to grab a coffee until the official open time even if they are there & you have an early flight.",4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,"nice pool area the details to customers in the rooms and breakfast hygiene was very good, lovely staff made a great few days away.",not really a bar for a drink,"nice pool area the details to customers in the rooms and breakfast hygiene was very good, lovely staff made a great few days away. not really a bar for a drink",5,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,Location. Comfortable pillows. Good shower pressure. Early check in. Tea making facilities. Quiet room.,We’re given single beds which we didn’t request. Mould in shower.,Location. Comfortable pillows. Good shower pressure. Early check in. Tea making facilities. Quiet room. We’re given single beds which we didn’t request. Mould in shower.,4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,nice room with big window and amenities and lovely pool area .,There was meant to be a roof garden but it was closed and also there was no bar anywhere so you couldn’t get a drink at the pool which was poor.Breakfast wasn’t included and was expensive.,nice room with big window and amenities and lovely pool area . There was meant to be a roof garden but it was closed and also there was no bar anywhere so you couldn’t get a drink at the pool which was poor.Breakfast wasn’t included and was expensive.,4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,location,,location ,4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,Location and comfort excellent.,Breakfast. Seems to be subcontracted to a restaurant within the lobby.  Food not so good.,Location and comfort excellent. Breakfast. Seems to be subcontracted to a restaurant within the lobby.  Food not so good.,4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
Park Regis Singapore,058268,1.2880531,103.8445808,"Location.Comfy beds.Ironing facility, tea-coffee maker, complimentary water, tea, coffee, sugar.Free wifi, safe.",Room rather small. Glass toilet door.Dirty windows.,"Location.Comfy beds.Ironing facility, tea-coffee maker, complimentary water, tea, coffee, sugar.Free wifi, safe. Room rather small. Glass toilet door.Dirty windows.",4,['7.9'],8.3,8.3,9.1,7.9,8.4,7.6,8.9
