hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,Beautiful property as to be expected. You feel like you're going back in time to true luxury. The Butler service is absolutely exceptional.,,Beautiful property as to be expected. You feel like you're going back in time to true luxury. The Butler service is absolutely exceptional. ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Old world charm, highly personal service, choice of fantastic restaurants and living in a piece of history.",It is expensive - but what an experience.,"Old world charm, highly personal service, choice of fantastic restaurants and living in a piece of history. It is expensive - but what an experience.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"fantastic service, great staff and rooms were very clean and beautiful",N/A,"fantastic service, great staff and rooms were very clean and beautiful N/A",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,hotel building and interior design. great location and hospitality. the swimming pool is the best.,I don’t like the idea of using IPad to control lighting and curtains. I don’t like the vanity table lamp that can blinds my eyes. The guest room lighting is too dark.,hotel building and interior design. great location and hospitality. the swimming pool is the best. I don’t like the idea of using IPad to control lighting and curtains. I don’t like the vanity table lamp that can blinds my eyes. The guest room lighting is too dark.,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Check in was perfect. The staff was excellent. Splendid customer service, from personal touch to customer service. Need not wait forever on the in-house dining. The room was brilliant. Love all of it.","I guess there was a 'hiccup' during parking as the name and plate was provided earlier but upon arrival, no one was able to provide a confirmation and the vehicle cannot enter. However, one of the lady at the reception was so wonderful that she walk all the way to the basement wit me and physically assist with the parking of the vehicle.","Check in was perfect. The staff was excellent. Splendid customer service, from personal touch to customer service. Need not wait forever on the in-house dining. The room was brilliant. Love all of it. I guess there was a 'hiccup' during parking as the name and plate was provided earlier but upon arrival, no one was able to provide a confirmation and the vehicle cannot enter. However, one of the lady at the reception was so wonderful that she walk all the way to the basement wit me and physically assist with the parking of the vehicle.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,property amenities staff ambience rooms good pool location,,property amenities staff ambience rooms good pool location ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,simply out of this world,,simply out of this world ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"FAntastic room, great restaurants, excellent location, rich history, lovely staff, superb renovations and extensions,","The internet service is sub-standard. The upload and download speeds were pedestrian at best. The internet kept dropping out. The default was always Raffles_Meetings, not Raffles. I don’t know who supplies your internet service, but they are ripping you off big time. It’s enough to discourage me from staying with you again. I find the Fullerton to be far superior re internet services.","FAntastic room, great restaurants, excellent location, rich history, lovely staff, superb renovations and extensions, The internet service is sub-standard. The upload and download speeds were pedestrian at best. The internet kept dropping out. The default was always Raffles_Meetings, not Raffles. I don’t know who supplies your internet service, but they are ripping you off big time. It’s enough to discourage me from staying with you again. I find the Fullerton to be far superior re internet services.",4,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"The most distinct pleasure of staying at Raffles is the first-class service you receive. Each and every staff member is delightful, very friendly and couldn’t try harder to do anything for you. The attention to detail is remarkable - the staff remember your morning coffee choice, names and things you have told them during your stay, and they deliver a very personalised experience. The food is excellent, and we also ate at Yi restaurant which was delicious. The room by the palm court was lovely and well equipped with everything you could ever need, with everything controlled through one of two iPads in the bedroom and parlour. We couldn’t recommend Raffles enough - we will certainly be returning!",Better signage would be useful for certain areas or restaurants as the hotel is a bit of a maze!,"The most distinct pleasure of staying at Raffles is the first-class service you receive. Each and every staff member is delightful, very friendly and couldn’t try harder to do anything for you. The attention to detail is remarkable - the staff remember your morning coffee choice, names and things you have told them during your stay, and they deliver a very personalised experience. The food is excellent, and we also ate at Yi restaurant which was delicious. The room by the palm court was lovely and well equipped with everything you could ever need, with everything controlled through one of two iPads in the bedroom and parlour. We couldn’t recommend Raffles enough - we will certainly be returning! Better signage would be useful for certain areas or restaurants as the hotel is a bit of a maze!",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"The suite is luxurious, the renovation is top quality…. From the marble and wooden floors to all the fittings.",I stayed at the courtyard suites. I would have preferred the suite to be slightly larger and brighter (I Hear the Palm court suites are brighter),"The suite is luxurious, the renovation is top quality…. From the marble and wooden floors to all the fittings. I stayed at the courtyard suites. I would have preferred the suite to be slightly larger and brighter (I Hear the Palm court suites are brighter)",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Hotel and location was excellent. Cleanliness and room service/facilities as well. Front desk, butler and concierge were all very friendly and helpful, waiter at poolside as well.",Waiters at breakfast and bar (writers club) seemed to be stressed out and not very friendly.,"Hotel and location was excellent. Cleanliness and room service/facilities as well. Front desk, butler and concierge were all very friendly and helpful, waiter at poolside as well. Waiters at breakfast and bar (writers club) seemed to be stressed out and not very friendly.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,Breakfast was superb.Loved the gardens & the flower arrangements.,,Breakfast was superb.Loved the gardens & the flower arrangements. ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Absolument stunning, the Grande Dame did not disappoint",Nothing,"Absolument stunning, the Grande Dame did not disappoint Nothing",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,The staff were exceptional.,,The staff were exceptional. ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Beautiful hotel, room and the grounds. The most beautiful bathroom tiles I have ever seen.Separate lounge and TV area. Paying for prestige.We stayed in John Wayne suite.","Breakfast of 2 poached eggs on toast for 2 with carrot juice cost us $150 (AUD) .Later in the week , I ordered more carrot juice and some bananas as needed to take some meds after getting sick and cost us $50.I understand the history and prestige of this hotel but it is way over the top.We ordered a fruit platter in another hotel afterwards and it cost us only $12.Pool area is plain.Not enough sunlight or tropical vibe.The bed was so hard and high (my hubby is 6 foot tall), we chose to sit on the small couch and chairs in the lounge instead.The aircon was difficult to control.","Beautiful hotel, room and the grounds. The most beautiful bathroom tiles I have ever seen.Separate lounge and TV area. Paying for prestige.We stayed in John Wayne suite. Breakfast of 2 poached eggs on toast for 2 with carrot juice cost us $150 (AUD) .Later in the week , I ordered more carrot juice and some bananas as needed to take some meds after getting sick and cost us $50.I understand the history and prestige of this hotel but it is way over the top.We ordered a fruit platter in another hotel afterwards and it cost us only $12.Pool area is plain.Not enough sunlight or tropical vibe.The bed was so hard and high (my hubby is 6 foot tall), we chose to sit on the small couch and chairs in the lounge instead.The aircon was difficult to control.",4,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,Everything. Best hotel experience I’ve encountered.,Absolutely nothing,Everything. Best hotel experience I’ve encountered. Absolutely nothing,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,,Only downside is that a booking is required for the pool area. Otherwise fantastic stay., Only downside is that a booking is required for the pool area. Otherwise fantastic stay.,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"The location, the room, the iPad that functioned very well,the staffs and off course, the birthday cake for my son.",Nil,"The location, the room, the iPad that functioned very well,the staffs and off course, the birthday cake for my son. Nil",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,,"Service was a little slow, waiting up to 40mins for a iron to be delivered."," Service was a little slow, waiting up to 40mins for a iron to be delivered.",4,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"1. The hotel's service is excellent. All members of staff, from the butlers and cleaning staff, to the reception and waiters, everyone was courteous to a fault. They also knew their job: all my questions and requests were met with willing promptness.2. The restorations have been done with a view to retain as much as possible the original features of the hotel. I am glad that it does not feel like a brand new hotel, nor does it aspire to be one. It retains the quiet, effortless grace of a 134-year-old institution that is secure in its place in the world, with none of the brash and laboured glamour of newer luxury hotel chains.","1. While it isn't big, the property is quite maze-like in its configuration. I got lost a couple of times and had to ask for help from the staff. A proper map (not the escape route on the door) could be provided in each room to help with orientation.2. Some of the decorative items were on the tacky side. The lobby centrepiece on the day of arrival (12 Sep 2021) featured a world globe that on closer look, was actually a 3D jigsaw puzzle, which doesn't belong in a hotel like the Raffles. The bookcase that occupies an entire wall in the Writers Bar would look better with real books instead of an ill-considered menagerie of decorative elephants and other exotic fauna.","1. The hotel's service is excellent. All members of staff, from the butlers and cleaning staff, to the reception and waiters, everyone was courteous to a fault. They also knew their job: all my questions and requests were met with willing promptness.2. The restorations have been done with a view to retain as much as possible the original features of the hotel. I am glad that it does not feel like a brand new hotel, nor does it aspire to be one. It retains the quiet, effortless grace of a 134-year-old institution that is secure in its place in the world, with none of the brash and laboured glamour of newer luxury hotel chains. 1. While it isn't big, the property is quite maze-like in its configuration. I got lost a couple of times and had to ask for help from the staff. A proper map (not the escape route on the door) could be provided in each room to help with orientation.2. Some of the decorative items were on the tacky side. The lobby centrepiece on the day of arrival (12 Sep 2021) featured a world globe that on closer look, was actually a 3D jigsaw puzzle, which doesn't belong in a hotel like the Raffles. The bookcase that occupies an entire wall in the Writers Bar would look better with real books instead of an ill-considered menagerie of decorative elephants and other exotic fauna.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,Absolutely fantastic,,Absolutely fantastic ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"Loads of added perks available to compensate for closure of restaurants. Complimentary afternoon tea, room upgrade, fruit and sweets on arrival, Singapore Slings, trio in hotel limousine (as we added another night’s stay), family photo.",Some work pruning trees during the day which was a bit noisy.,"Loads of added perks available to compensate for closure of restaurants. Complimentary afternoon tea, room upgrade, fruit and sweets on arrival, Singapore Slings, trio in hotel limousine (as we added another night’s stay), family photo. Some work pruning trees during the day which was a bit noisy.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,Simply stunning hotel and amazing stay but undoubtedly the friendly and incredibly staff helped make the stay unforgettable.,N/a,Simply stunning hotel and amazing stay but undoubtedly the friendly and incredibly staff helped make the stay unforgettable. N/a,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,everything is amazing and the staff is the best I met in all my stayings in Singapore. The hotel is impeccable all the way....,nothing. It was perfect!,everything is amazing and the staff is the best I met in all my stayings in Singapore. The hotel is impeccable all the way.... nothing. It was perfect!,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,The feeling of being “hosted” by people who have know you forever is the special feeling you take with you when  you leave and say see you soon..:-),,The feeling of being “hosted” by people who have know you forever is the special feeling you take with you when  you leave and say see you soon..:-) ,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,The property & interior are stunning.Rooms $ other premises are clean .,"The service was so bad. The hotel is understaffed. One can not reach the chinese restaurant due to lack of direction & also misleading signage.The “butler” could not understand what “Chivas Regal” was ! The room was not cleaned until 12 noon.   The property is too big for Raffles to handle I believe, unless Raffles becomes under the management of a superior hotel chain like four seasons, St Regis or  the Aman, they will be doomed to failure.","The property & interior are stunning.Rooms $ other premises are clean . The service was so bad. The hotel is understaffed. One can not reach the chinese restaurant due to lack of direction & also misleading signage.The “butler” could not understand what “Chivas Regal” was ! The room was not cleaned until 12 noon.   The property is too big for Raffles to handle I believe, unless Raffles becomes under the management of a superior hotel chain like four seasons, St Regis or  the Aman, they will be doomed to failure.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"The service was amazing, loved the size of the beautiful bathtub.",My only complaint that was during our afternoon tea  ( which we had booked)we where waiting for 20 minutes before someone served us. The staff were apologetic and very attentive afterwards.,"The service was amazing, loved the size of the beautiful bathtub. My only complaint that was during our afternoon tea  ( which we had booked)we where waiting for 20 minutes before someone served us. The staff were apologetic and very attentive afterwards.",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,"It was spectacular. Raffles has to be one of the very best hotels in the world. Stunningly upgraded, luxurious but not stuffy with the most attentive staff. It was a joy!",Absolutely nothing,"It was spectacular. Raffles has to be one of the very best hotels in the world. Stunningly upgraded, luxurious but not stuffy with the most attentive staff. It was a joy! Absolutely nothing",5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,In room dining was exceptiona.,Nil.,In room dining was exceptiona. Nil.,5,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,impressive grounds. love the revamped premises.,"The service personnel were a bit green but great effort. The wrong amount was deducted from my card, the butler was a tad aggressive (and was supposed to return my call but didn't), housekeeping did not check the bottom drawer of the bar closet (we found a bag of candies).","impressive grounds. love the revamped premises. The service personnel were a bit green but great effort. The wrong amount was deducted from my card, the butler was a tad aggressive (and was supposed to return my call but didn't), housekeeping did not check the bottom drawer of the bar closet (we found a bag of candies).",2,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,restaurants and bars; building with a lot of history.,rooms noisy and not sound proof.,restaurants and bars; building with a lot of history. rooms noisy and not sound proof.,3,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
Raffles Singapore,189673,1.2949586333333334,103.85397338333334,unique architecture,not kids friendly; room was smaller than expected; room service breakfast portions surprisingly small,unique architecture not kids friendly; room was smaller than expected; room service breakfast portions surprisingly small,3,['9.4'],9.8,9.8,9.7,9.5,9.5,8.3,9.6
