hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,"I love everything, service, room, food, people who put small things for me and personalised my stay. thank you so much to all stuff of the hotel who made my stay with my family absolutely special.",,"I love everything, service, room, food, people who put small things for me and personalised my stay. thank you so much to all stuff of the hotel who made my stay with my family absolutely special. ",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,impeccable service and architecture,,impeccable service and architecture ,5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,peaceful and calm,,peaceful and calm ,5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,quiet and exclusive. service was impeccable and personal.,nothing.,quiet and exclusive. service was impeccable and personal. nothing.,5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,"Great service, ambience, food and beverages!",No complaints. Had a wonderful time!,"Great service, ambience, food and beverages! No complaints. Had a wonderful time!",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,"Love the laid back feel of the place! It has a nice colonial charm and lush greenery added to the resort feel. Our room had direct access to the pool, so that was great. The staff were very friendly and helpful, which made our stay more memorable. Food option for breakfast wasn’t plentiful but taste and presentation was good.",The only ‘complaint’ is that we wish the bathroom can be smaller so that the rest room area can be bigger.,"Love the laid back feel of the place! It has a nice colonial charm and lush greenery added to the resort feel. Our room had direct access to the pool, so that was great. The staff were very friendly and helpful, which made our stay more memorable. Food option for breakfast wasn’t plentiful but taste and presentation was good. The only ‘complaint’ is that we wish the bathroom can be smaller so that the rest room area can be bigger.",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,,"Nothing...Everything thing was exceptional.  From the food to the atmosphere, environment, room comfort, and staff interaction.  The room might seem small for the amount paid, but was exactly what my family and I needed.  a cozy feeling, also perfect for just couples needing that alone time.  My kids love the coziness and serene atmosphere, so this was a delight."," Nothing...Everything thing was exceptional.  From the food to the atmosphere, environment, room comfort, and staff interaction.  The room might seem small for the amount paid, but was exactly what my family and I needed.  a cozy feeling, also perfect for just couples needing that alone time.  My kids love the coziness and serene atmosphere, so this was a delight.",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,"Supreme experience as a tourist. Service, view, facilities are all fantastic! Definitely will revisit again (Bonus part - With luck we saw a wild peacock right there, what a surprise!)",,"Supreme experience as a tourist. Service, view, facilities are all fantastic! Definitely will revisit again (Bonus part - With luck we saw a wild peacock right there, what a surprise!) ",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,"Everything was amazing. the staff was extremely attentive and our room was perfect. the building itself is beautiful and has so much history, we were really amazed by all the stories Winston and Khor told us. great cocktails also, overall just the best experience!",Nothing.,"Everything was amazing. the staff was extremely attentive and our room was perfect. the building itself is beautiful and has so much history, we were really amazed by all the stories Winston and Khor told us. great cocktails also, overall just the best experience! Nothing.",5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
The Barracks Hotel Sentosa by Far East Hospitality,099567,1.28917835,103.84515431766008,The heritage and History. The staff are extremely helpful and friendly..!,,The heritage and History. The staff are extremely helpful and friendly..! ,5,['9.3'],9.7,9.6,9.4,9.3,9.7,8.5,6.2
