hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,Slick and pleasant atmosphere everywhere and tea ceremony is a very nice feature.,Shower stream was kind of inconsistent in temperature and the room was a bit small. Also pool sitting is quite limited which can be annoying if more than 10 people want in the same time.,Slick and pleasant atmosphere everywhere and tea ceremony is a very nice feature. Shower stream was kind of inconsistent in temperature and the room was a bit small. Also pool sitting is quite limited which can be annoying if more than 10 people want in the same time.,4
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Best bed, linen & pillows. Slept like a dream. Staff friendly & helpful. Welcoming tea ceremony was fab fun. Hotel kept luggage for us after check out and used the shower in gym before going to airport even though we'd checked out. Great service. Perfect location too. Couldn't fault it.",Leaving!,"Best bed, linen & pillows. Slept like a dream. Staff friendly & helpful. Welcoming tea ceremony was fab fun. Hotel kept luggage for us after check out and used the shower in gym before going to airport even though we'd checked out. Great service. Perfect location too. Couldn't fault it. Leaving!",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"clean, modern, comfortable bed, great shower, friendly staff very helpful",breakfast selection on offer was limited for western tastes,"clean, modern, comfortable bed, great shower, friendly staff very helpful breakfast selection on offer was limited for western tastes",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Elegant furnishings, convenient location, great service. The welcome tea & treat is really thoughtful.",Rooms are a tad too small.,"Elegant furnishings, convenient location, great service. The welcome tea & treat is really thoughtful. Rooms are a tad too small.",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,wonderful stay at The Clan. Staff were great and extremely accommodating.  breakfast was great!,,wonderful stay at The Clan. Staff were great and extremely accommodating.  breakfast was great! ,5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Overall very good.Almost staffs were very friendly, and also we enjoy welcome tea that was good taste. Room and facilities were generally new.And there located in Chinatown.",Reception was floor 2. You have to climb some stairs with baggage for use elevator to floor 2.,"Overall very good.Almost staffs were very friendly, and also we enjoy welcome tea that was good taste. Room and facilities were generally new.And there located in Chinatown. Reception was floor 2. You have to climb some stairs with baggage for use elevator to floor 2.",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,The location is amazing. We stayed for 7 days and we could access all tourist destinations by train or walk.,,The location is amazing. We stayed for 7 days and we could access all tourist destinations by train or walk. ,5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,modern but elegant feel. good quality gym and pool,entrance from street isn’t welcoming,modern but elegant feel. good quality gym and pool entrance from street isn’t welcoming,5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"The room was fantastic, spacious and a beautiful view.Facilities were goodStaff were lovely and helpful.",More sun beds by the poolNo halal food served,"The room was fantastic, spacious and a beautiful view.Facilities were goodStaff were lovely and helpful. More sun beds by the poolNo halal food served",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"perfect location, rooftop pool & lounge.",,"perfect location, rooftop pool & lounge. ",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"We loved the room and the service. Our clan master provided us with such a beautiful arrangement for our anniversary and we were so pleased with the cleanliness of the room and lobby. The location was easy to get to and around all the main landmarks of Singapore. We landed much earlier than the check-in time but we were able to freshen up in the shower suites when we dropped off our luggage, and they were kind enough to allow us to check-in a few hours earlier than the time. We greatly appreciate everyone at The Clan.",absolutely nothing!,"We loved the room and the service. Our clan master provided us with such a beautiful arrangement for our anniversary and we were so pleased with the cleanliness of the room and lobby. The location was easy to get to and around all the main landmarks of Singapore. We landed much earlier than the check-in time but we were able to freshen up in the shower suites when we dropped off our luggage, and they were kind enough to allow us to check-in a few hours earlier than the time. We greatly appreciate everyone at The Clan. absolutely nothing!",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,Great location for touring around.,Not much cupboard space but guess that's because its a central location and space is a premium.,Great location for touring around. Not much cupboard space but guess that's because its a central location and space is a premium.,5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Amazing view, beautiful pool.",I liked everything.,"Amazing view, beautiful pool. I liked everything.",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"location, design, staff",,"location, design, staff ",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Great hotel. Expensive. But, hey! It's Singapore. Clean. Well managed hotel for check-in/out. Wonderful bed. All good. I really like this one. No issues.",,"Great hotel. Expensive. But, hey! It's Singapore. Clean. Well managed hotel for check-in/out. Wonderful bed. All good. I really like this one. No issues. ",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Great hotel, staff, location and amenities.",,"Great hotel, staff, location and amenities. ",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"The facility in the room is new and high class. The room is spacious. I like the deco in particular. Welcome tea/treat were offered after check-in. A washlet is installed in toilet which is big plus to me. Clarke Quay, Boat Quay, Merlion, Lau Pa Sat, China Town are all within 15 minutes walking distance. A lot of restaurants are literally just at the corner. Roof top pool is fabulous. I wish I could stay longer.",,"The facility in the room is new and high class. The room is spacious. I like the deco in particular. Welcome tea/treat were offered after check-in. A washlet is installed in toilet which is big plus to me. Clarke Quay, Boat Quay, Merlion, Lau Pa Sat, China Town are all within 15 minutes walking distance. A lot of restaurants are literally just at the corner. Roof top pool is fabulous. I wish I could stay longer. ",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,very clean and excellent location staff really friendly and helpful,some strange things on for breakfast but that is all part of the fun but did give the fish porridge a miss,very clean and excellent location staff really friendly and helpful some strange things on for breakfast but that is all part of the fun but did give the fish porridge a miss,5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"Stunning new hotel, smelled amazing throughout and everything was spotless! Infinity pool and hot tub on the roof was incredible and room facilities were all excellent. Location was fantastic, right on the edge of Chinatown and about 15/20 minutes walk from Marina Bay Area. Hawker centre 2 minutes away which was great and lots of other food & drink options nearby!",Breakfast was delicious but maybe could have more options on the menu.,"Stunning new hotel, smelled amazing throughout and everything was spotless! Infinity pool and hot tub on the roof was incredible and room facilities were all excellent. Location was fantastic, right on the edge of Chinatown and about 15/20 minutes walk from Marina Bay Area. Hawker centre 2 minutes away which was great and lots of other food & drink options nearby! Breakfast was delicious but maybe could have more options on the menu.",5
The Clan Hotel Singapore by Far East Hospitality,048417,1.2826274,103.8482518,"We had 12 hours flight delay and we arrived at the hotel only in the morning, however the staff was very nice and we stayed a couple of hours there only  thought but it was super nice 👍🏼 experience! I wish we had more time to enjoy this beautiful modern hotel with all amazing facilities!!!",Everything was nice!,"We had 12 hours flight delay and we arrived at the hotel only in the morning, however the staff was very nice and we stayed a couple of hours there only  thought but it was super nice 👍🏼 experience! I wish we had more time to enjoy this beautiful modern hotel with all amazing facilities!!! Everything was nice!",5
