hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
hipstercity hostel,049365,1.287798,103.8489661,"Great location for visiting, friendly staff, good transport links.",A little loud in the evenings from the bar venues along the road - even tho earplugs are supplied.,"Great location for visiting, friendly staff, good transport links. A little loud in the evenings from the bar venues along the road - even tho earplugs are supplied.",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"Location is very good, very close to the China town , people's park complex and lion head park.",,"Location is very good, very close to the China town , people's park complex and lion head park. ",5,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,The staff and the convenience of having breakfast at te location.,"If we have to be picky, I would say repaint some of the stains on the walls. Makes it seem dirtier than it actually is.","The staff and the convenience of having breakfast at te location. If we have to be picky, I would say repaint some of the stains on the walls. Makes it seem dirtier than it actually is.",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"Very good location. Great coffee, decent breakfast. I could take a shower before my flight after I had checked out which was great.","The staff was very friendly but quite reserved and not very ""present"" (they are in a back room and you have to call them if you need anything). Felt more like in a hotel or even more anonymous. My mattress was super squeaky, so every time I turned I woke up (myself and probably the whole dorm).","Very good location. Great coffee, decent breakfast. I could take a shower before my flight after I had checked out which was great. The staff was very friendly but quite reserved and not very ""present"" (they are in a back room and you have to call them if you need anything). Felt more like in a hotel or even more anonymous. My mattress was super squeaky, so every time I turned I woke up (myself and probably the whole dorm).",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"friendly staff , comfortable room , clean room and toilet , nice lobby",nothing,"friendly staff , comfortable room , clean room and toilet , nice lobby nothing",5,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"Fantastic location near multiple MRT’s on different lines which made it ideal for getting around! It was great to have a double bed in a hostel and we found the underneath storage section very useful. Overall, super clean and quiet and we appreciated the free breakfast which was always well stocked.","The bathroom wasn’t great, there was no AC so very hot in there and the showers were luke warm.","Fantastic location near multiple MRT’s on different lines which made it ideal for getting around! It was great to have a double bed in a hostel and we found the underneath storage section very useful. Overall, super clean and quiet and we appreciated the free breakfast which was always well stocked. The bathroom wasn’t great, there was no AC so very hot in there and the showers were luke warm.",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"- extremely helpful lady on reception- despite being in a dorm, the beds felt very private and everyone was extremely courteous- A locked safe to store valuables and an area to hang up clothes- on a lively street with lots of food and drink options- well located and within walking distance of various train stations and bus stops to help get around the city.- Good air con in room (an absolute must in Singapore!)","- the double bed options are ""small doubles"". We had back ache after trying to squeeze both of us into the bed comfortably for 5 nights. Would have been absolutely fine for a shorter stay. - we booked a double bed in a dorm. There isn't much room for two people's luggage around the double bed, so try and pack light/compact! - the front door (on a busy street) is always open and the doors to the bedrooms are kept open during the day (at night you have to use your key card). Thankfully Singapore is a safe country, so I imagine bulglaries are rare! - the music from the surrounding bars is loud. We didn't find this to be too much of a problem, but bear it in mind if you are an extremely light sleeper. The hostel provides free earplugs to help minimise noise.","- extremely helpful lady on reception- despite being in a dorm, the beds felt very private and everyone was extremely courteous- A locked safe to store valuables and an area to hang up clothes- on a lively street with lots of food and drink options- well located and within walking distance of various train stations and bus stops to help get around the city.- Good air con in room (an absolute must in Singapore!) - the double bed options are ""small doubles"". We had back ache after trying to squeeze both of us into the bed comfortably for 5 nights. Would have been absolutely fine for a shorter stay. - we booked a double bed in a dorm. There isn't much room for two people's luggage around the double bed, so try and pack light/compact! - the front door (on a busy street) is always open and the doors to the bedrooms are kept open during the day (at night you have to use your key card). Thankfully Singapore is a safe country, so I imagine bulglaries are rare! - the music from the surrounding bars is loud. We didn't find this to be too much of a problem, but bear it in mind if you are an extremely light sleeper. The hostel provides free earplugs to help minimise noise.",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,"The beds on top got stuffy at night. Location is good, breakfast was good. Staff was nice and allowed us to store our luggage for the day after check-out","The fan next to the bed almost doesn't reach the power outlet, could attach a power bar so we can plug more things in.","The beds on top got stuffy at night. Location is good, breakfast was good. Staff was nice and allowed us to store our luggage for the day after check-out The fan next to the bed almost doesn't reach the power outlet, could attach a power bar so we can plug more things in.",4,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,Really good location and comfortable. Good facilities for a hostel and good breakfast provided in the morning.,noisy outside on street.,Really good location and comfortable. Good facilities for a hostel and good breakfast provided in the morning. noisy outside on street.,5,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
hipstercity hostel,049365,1.287798,103.8489661,Great place in perfect location. We enjoyed our stay a lot and also really liked the breakfast + good coffee.,,Great place in perfect location. We enjoyed our stay a lot and also really liked the breakfast + good coffee. ,5,['8.8'],9.0,8.9,9.5,8.8,9.6,8.6,9.8
