overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
overall,cleanliness,comfort,location,facilities,staff,value_for_money,Free_wifi
9.3,9.7,9.6,9.4,9.3,9.7,8.5,6.2
